Etablissement;Annee;Ville;UAI;Code commune;Academie;Departement;Secteur;Presents - L;Presents - ES;Presents - S;Presents - STG;Presents - STI2D;Presents - STD2A;Presents - STMG;Presents - STI;Presents - STL;Presents - ST2S;Presents - TMD;Presents - STHR;Presents - Toutes series;Taux de reussite - L;Taux de reussite - ES;Taux de reussite - S;Taux de reussite - STG;Taux de reussite - STI2D;Taux de reussite - STD2A;Taux de reussite - STMG;Taux de reussite - STI;Taux de reussite - STL;Taux de reussite - ST2S;Taux de reussite - TMD;Taux de reussite - STHR;Taux de reussite - Toutes series;Taux de reussite attendu acad - L;Taux de reussite attendu acad - ES;Taux de reussite attendu acad - S;Taux de reussite attendu acad - STG;Taux de reussite attendu acad - STI2D;Taux de reussite attendu acad - STD2A;Taux de reussite attendu acad - STMG;Taux de reussite attendu acad - STI;Taux de reussite attendu acad - STL;Taux de reussite attendu acad - ST2S;Taux de reussite attendu acad - TMD;Taux de reussite attendu acad - STHR;Taux de reussite attendu acad - Toutes series;Taux de reussite attendu france - L;Taux de reussite attendu france - ES;Taux de reussite attendu france - S;Taux de reussite attendu france - STG;Taux de reussite attendu france - STI2D;Taux de reussite attendu france - STD2A;Taux de reussite attendu france - STMG;Taux de reussite attendu france - STI;Taux de reussite attendu france - STL;Taux de reussite attendu france - ST2S;Taux de reussite attendu france - TMD;Taux de reussite attendu france - STHR;Taux de reussite attendu france - Toutes series;Taux de mentions - L;Taux de mentions - ES;Taux de mentions - S;Taux de mentions - STI2D;Taux de mentions - STD2A;Taux de mentions - STMG;Taux de mentions - STL;Taux de mentions - ST2S;Taux de mentions - TMD;Taux de mentions - STHR;Taux de mentions - Toutes series;Taux de mentions attendu - L;Taux de mentions attendu - ES;Taux de mentions attendu - S;Taux de mentions attendu - STI2D;Taux de mentions attendu - STD2A;Taux de mentions attendu - STMG;Taux de mentions attendu - STL;Taux de mentions attendu - ST2S;Taux de mentions attendu - TMD;Taux de mentions attendu - STHR;Taux de mentions attendu - Toutes series;Structure pedagogique 5 groupes;Structure pedagogique 7 groupes;Pourcentage bacheliers sortants 2de 1re Terminale Etablissement;Pourcentage bacheliers sortants Terminales Etablissement;Pourcentage bacheliers sortants 2de 1re Terminale Acad;Pourcentage bacheliers sortants Terminale Acad;Pourcentage bacheliers sortants 2de 1re Terminale France;Pourcentage bacheliers sortants Terminale France;Effectif de seconde;Effectif de premiere;Effectif de terminale;Taux d'acces 2nde-bac;Taux d'acces attendu acad 2nde-bac;Taux d'acces attendu france 2nde-bac;Taux d'acces 1ere-bac;Taux d'acces attendu acad 1ere-bac;Taux d'acces attendu france 1ere-bac;Taux d'acces terminale-bac;Taux d'acces attendu france terminale-bac;Region;Code region;code_departement;Departement.1;Valeur ajoutee du taux de reussite - Toutes series;Valeur ajoutee du taux d'acces 2nde-bac;Valeur ajoutee du taux de mentions - Toutes series;Valeur ajoutee du taux de reussite - L;Valeur ajoutee du taux de reussite - ES;Valeur ajoutee du taux de reussite - S;Valeur ajoutee du taux de reussite - STG;Valeur ajoutee du taux de reussite - STI2D;Valeur ajoutee du taux de reussite - STD2A;Valeur ajoutee du taux de reussite - STMG;Valeur ajoutee du taux de reussite - STI;Valeur ajoutee du taux de reussite - STL;Valeur ajoutee du taux de reussite - ST2S;Valeur ajoutee du taux de reussite - TMD;Valeur ajoutee du taux de reussite - STHR;Valeur ajoutee du taux d'acces 1ere-bac;Valeur ajoutee du taux d'acces terminale-bac;Valeur ajoutee du taux de mentions - L;Valeur ajoutee du taux de mentions - ES;Valeur ajoutee du taux de mentions - S;Valeur ajoutee du taux de mentions - STI2D;Valeur ajoutee du taux de mentions - STD2A;Valeur ajoutee du taux de mentions - STMG;Valeur ajoutee du taux de mentions - STL;Valeur ajoutee du taux de mentions - ST2S;Valeur ajoutee du taux de mentions - TMD;Valeur ajoutee du taux de mentions - STHR;Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
LYCEE DORIAN (GENERAL ET TECHNO.);2014;PARIS 11;0750676C;75111;PARIS;Paris;PU;17.0;20.0;53.0;;59.0;;;;;;;;149;88.0;80.0;77.0;;90.0;;;;;;;;84;79.0;85.0;83.0;;92.0;;;;;;;;87.0;86.0;85.0;84.0;;91.0;;;;;;;;87.0;;;;;;;;;;;;;;;;;;;;;;;3.0;;65.0;90.0;75.0;95.0;74.0;95.0;211.0;207.0;;63.0;63.0;63.0;88.0;82.0;84.0;;;Ile-de-France;11;75;Paris;-3;0;;2;-5;-7;;-1;;;;;;;;4;;;;;;;;;;;;0750676C;Lycée polyvalent Dorian;Lycée;Public;74 avenue Philippe Auguste;;75011 Paris;75011.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 44 93 81 30;01 43 79 10 72;http://www.lycee-dorian.fr;ce.0750676c@ac-paris.fr;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;;1.0;19750676900011.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5145;48.8543168242,2.39228960262;SANS OBJET;Paris;Paris;Ile-de-France;655408.5;6861758.0;EPSG:2154;;48.85431682417599;2.3922896026177773;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;99;0750676C;;;01000;BASSIN PARIS
LYCEE CAMILLE SEE;2014;PARIS 15;0750694X;75115;PARIS;Paris;PU;30.0;47.0;46.0;;;;;;;;;;123;73.0;87.0;72.0;;;;;;;;;;78;87.0;86.0;76.0;;;;;;;;;;82.0;90;85;81;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;;;;;1.0;;44.0;85.0;75.0;95.0;74.0;97.0;215.0;130.0;;41;57.0;44;79.0;87.0;75;;;Ile-de-France;11;75;Paris;-6;-3;;-17;2;-9;;;;;;;;;;4;;;;;;;;;;;;0750694X;Lycée Camille Sée;Lycée;Public;11 rue Léon Lhermitte;;75015 Paris;75015.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 48 28 13 37;01 45 33 28 54;http://camille-see.fr;ce.0750694X@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;19750694200014.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18506;48.8429580836,2.29693002378;SANS OBJET;Paris;Paris;Ile-de-France;648400.3;6860553.1;EPSG:2154;;48.84295808360027;2.296930023784056;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752318M;;;01000;BASSIN PARIS
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2014;PARIS 15;0751708Z;75115;PARIS;Paris;PU;;24.0;20.0;;34.0;;48.0;;;;;;126;;54.0;60.0;;88.0;;90.0;;;;;;78;;56.0;79.0;;89.0;;86.0;;;;;;80.0;;72;75;;89;;80;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;2.0;;68.0;83.0;75.0;95.0;77.0;94.0;72.0;105.0;;54;39.0;42;74.0;71.0;64;;;Ile-de-France;11;75;Paris;-2;12;;;-18;-15;;-1;;10;;;;;;10;;;;;;;;;;;;0751708Z;Lycée Louis Armand;Lycée;Public;321 rue Lecourbe;;75015 Paris;75015.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 45 57 51 50;;http://www.ac-paris.fr/serail/jcms/s1_1476599/fr/lycee-general-scientifique-technologique-et-professionnel-louis-armand;secretariat.louisarmand@gmail.com;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;19751708900011.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2199;48.8372651929,2.28526535039;SANS OBJET;Paris;Paris;Ile-de-France;647538.5;6859927.8;EPSG:2154;;48.83726519286379;2.285265350394968;Numéro de rue;1970-03-19;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;99;0751708Z;;;01000;BASSIN PARIS
LYCEE SAINT-NICOLAS;2014;PARIS 06;0754025T;75106;PARIS;Paris;PR;;;21.0;;82.0;;45.0;;;;;;148;;;100.0;;100.0;;100.0;;;;;;100;;;96.0;;99.0;;99.0;;;;;;99.0;;;90;;96;;97;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;5.0;;75.0;99.0;75.0;95.0;72.0;95.0;120.0;163.0;;62;56.0;62;86.0;84.0;85;;;Ile-de-France;11;75;Paris;5;0;;;;10;;4;;3;;;;;;1;;;;;;;;;;;;0754025T;Lycée technique privé Saint-Nicolas;Lycée;Privé;108 rue de Vaugirard;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 42 22 79 75;01 45 49 28 74;http://www.lyceesaintnicolas.com;contact@lyceesaintnicolas.org;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;77566401400013.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15995;48.8459982856,2.32303028111;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650318.7;6860874.4;EPSG:2154;;48.84599828555845;2.3230302811052352;Numéro de rue;1968-03-15;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;30;;;;01000;BASSIN PARIS
LYCEE GERSON;2014;PARIS 16;0753941B;75116;PARIS;Paris;PR;;62.0;59.0;;;;;;;;;;121;;100.0;98.0;;;;;;;;;;99;;99.0;98.0;;;;;;;;;;99.0;;98;98;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;1.0;;70.0;99.0;75.0;95.0;74.0;97.0;160.0;127.0;;67;82.0;79;95.0;94.0;94;;;Ile-de-France;11;75;Paris;1;-12;;;2;0;;;;;;;;;;1;;;;;;;;;;;;0753941B;Lycée privé Gerson;Lycée;Privé;31 rue de la Pompe;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 03 81 00;01 45 03 81 29;http://www.gerson-paris.com;j.gerson@wanadoo.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;78466211600036;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5766;48.8607149199,2.27505063685;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;646812.7;6862542.0;EPSG:2154;;48.86071491990912;2.275050636853009;Numéro de rue;1968-03-19;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE SAINTE-ELISABETH;2014;PARIS 15;0753916Z;75115;PARIS;Paris;PR;18.0;33.0;34.0;;;;;;;;;;85;94.0;100.0;88.0;;;;;;;;;;94;97.0;97.0;97.0;;;;;;;;;;97.0;95;97;95;;;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;1.0;;77.0;98.0;75.0;95.0;74.0;97.0;95.0;72.0;;74;77.0;70;98.0;93.0;90;;;Ile-de-France;11;75;Paris;-1;4;;-1;3;-7;;;;;;;;;;8;;;;;;;;;;;;0753916Z;Lycée privé Sainte-Elisabeth;Lycée;Privé;112 rue de Lourmel;;75015 Paris;75015.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 54 56 76;01 45 57 09 96;http://www.sainte-elisabeth.com;direction@sainte-elisabeth.com;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78461709400015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4703;48.8428681637,2.28615049495;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647609.1;6860550.2;EPSG:2154;;48.84286816371917;2.286150494949569;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE ROCROY SAINT-VINCENT DE PAUL;2014;PARIS 10;0753885R;75110;PARIS;Paris;PR;19.0;65.0;110.0;;;;;;;;;;194;100.0;100.0;100.0;;;;;;;;;;100;99.0;99.0;99.0;;;;;;;;;;99.0;97;98;98;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;1.0;;83.0;99.0;75.0;95.0;74.0;97.0;239.0;223.0;;83;83.0;79;95.0;95.0;93;;;Ile-de-France;11;75;Paris;2;4;;3;2;2;;;;;;;;;;2;;;;;;;;;;;;0753885R;Lycée privé Rocroy Saint-Vincent-de-Paul;Lycée;Privé;106 rue du faubourg Poissonnière;;75010 Paris;75010.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 63 18 00;01 44 63 01 29;http://rocroysvp.fr/;rocroy-svp@rocroysvp.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;59200229900010.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8533;48.8786536835,2.34930880644;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;652277.1;6864489.2;EPSG:2154;;48.87865368347605;2.349308806443948;Numéro de rue;1968-03-14;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE L'ALMA;2014;PARIS 07;0753849B;75107;PARIS;Paris;PR;;52.0;29.0;;;;;;;;;;81;;100.0;100.0;;;;;;;;;;100;;99.0;99.0;;;;;;;;;;99.0;;98;99;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;1.0;;77.0;99.0;75.0;95.0;74.0;97.0;90.0;86.0;;74;85.0;83;94.0;95.0;94;;;Ile-de-France;11;75;Paris;2;-9;;;2;1;;;;;;;;;;0;;;;;;;;;;;;0753849B;Lycée privé de l'Alma;Lycée;Privé;12 avenue Bosquet;;75007 Paris;75007.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 18 62 82;01 44 18 62 80;http://www.ecl-alma.com;contact@ecl-alma.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;78430833000033.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16095;48.860314747,2.30260047355;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;648833.5;6862479.3;EPSG:2154;;48.86031474695041;2.302600473550888;Numéro de rue;1968-03-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE YABNE;2014;PARIS 13;0753834K;75113;PARIS;Paris;PR;;31.0;106.0;;;;;;;;;;137;;100.0;100.0;;;;;;;;;;100;;98.0;99.0;;;;;;;;;;99.0;;95;96;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;1.0;;79.0;100.0;75.0;95.0;74.0;97.0;155.0;140.0;;77;84.0;80;90.0;94.0;94;;;Ile-de-France;11;75;Paris;4;-3;;;5;4;;;;;;;;;;-4;;;;;;;;;;;;0753834K;Lycée privé Yabné;Lycée;Privé;29 avenue Léon Bollée;;75013 Paris;75013.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 24 85 85;01 44 24 80 70;http://www.yabne.org;secretariat_direction@yabne.org;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78425931900035;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3332;48.8178942068,2.36220989923;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653168.7;6857725.6;EPSG:2154;;48.81789420678753;2.362209899228951;Numéro de rue;1968-02-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE MASSILLON;2014;PARIS 04;0753824Z;75104;PARIS;Paris;PR;36.0;47.0;53.0;;;;;;;;;;136;97.0;96.0;100.0;;;;;;;;;;98;99.0;99.0;99.0;;;;;;;;;;99.0;98;98;98;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;1.0;;85.0;97.0;75.0;95.0;74.0;97.0;149.0;145.0;;84;83.0;81;93.0;94.0;93;;;Ile-de-France;11;75;Paris;0;3;;-1;-2;2;;;;;;;;;;0;;;;;;;;;;;;0753824Z;Lycée privé Massillon;Lycée;Privé;2 bis quai des Célestins;;75004 Paris;75004.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 53 01 91 60;01 42 78 47 69;http://www.ecolemassillon.com;direction@ecolemassillon.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;30812697800011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16759;48.8515557453,2.36220946672;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653198.9;6861468.4;EPSG:2154;;48.85155574529355;2.362209466719368;Numéro de rue;1968-02-27;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE PAUL CLAUDEL;2014;PARIS 07;0753809H;75107;PARIS;Paris;PR;28.0;30.0;33.0;;;;;;;;;;91;100.0;100.0;100.0;;;;;;;;;;100;100.0;99.0;99.0;;;;;;;;;;99.0;99;99;98;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;1.0;;84.0;100.0;75.0;95.0;74.0;97.0;90.0;92.0;;82;85.0;83;96.0;95.0;95;;;Ile-de-France;11;75;Paris;1;-1;;1;1;2;;;;;;;;;;1;;;;;;;;;;;;0753809H;Lycée privé Paul Claudel-d'Hulst;Lycée;Privé;21 rue de Varenne;;75007 Paris;75007.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 48 34 67;0145 49 90 45;http://www.paulclaudel-hulst.fr;info@paulclaudel-hulst.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;32010218900018.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10706;48.856982818,2.31966010505;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650081.9;6862097.9;EPSG:2154;;48.856982818019645;2.3196601050484498;Numéro de rue;1968-03-05;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE PIERRE-GILLES DE GENNES-ENCPB;2014;PARIS 13;0750685M;75113;PARIS;Paris;PU;;;99.0;;;;;;127.0;;;;226;;;84.0;;;;;;87.0;;;;86;;;96.0;;;;;;91.0;;;;93.0;;;91.0;;;;;;94.0;;;;93.0;;;;;;;;;;;;;;;;;;;;;;;3.0;;74.0;90.0;75.0;95.0;74.0;95.0;210.0;228.0;;69.0;75.0;72.0;86.0;89.0;88.0;;;Ile-de-France;11;75;Paris;-7;-3;;;;-7;;;;;;-7;;;;-2;;;;;;;;;;;;0750685M;Lycée Pierre-Gilles de Gennes - Ecole nationale de chimie, physique et biologie;Lycée;Public;11 rue Pirandello;;75013 Paris;75013.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 44 08 06 50;01 44 08 06 51;http://www.encpb.org/;secretariat.direction@encpb.org;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;1.0;19750685000019.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16023;48.8366081453,2.35629014261;SANS OBJET;Paris;Paris;Ile-de-France;652751.0;6859809.9;EPSG:2154;;48.83660814529115;2.3562901426074565;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752539C;;;01000;BASSIN PARIS
LYCEE RODIN;2014;PARIS 13;0750682J;75113;PARIS;Paris;PU;52.0;61.0;67.0;;;;;;;;;;180;96.0;97.0;82.0;;;;;;;;;;91;90.0;94.0;89.0;;;;;;;;;;91.0;92.0;90.0;86.0;;;;;;;;;;89.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;57.0;95.0;75.0;95.0;74.0;97.0;301.0;165.0;;53.0;64.0;57.0;84.0;86.0;83.0;;;Ile-de-France;11;75;Paris;2;-4;;4;7;-4;;;;;;;;;;1;;;;;;;;;;;;0750682J;Lycée Rodin;Lycée;Public;19 rue Corvisart;;75013 Paris;75013.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 55 43 10 00;01 55 43 10 01;http://lyc-rodin.ac-paris.fr;ce.0750682j@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;19750682700017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8504;48.8324828865,2.34719050926;SANS OBJET;Paris;Paris;Ile-de-France;652079.3;6859356.7;EPSG:2154;;48.83248288648155;2.347190509259003;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0750525N;;;01000;BASSIN PARIS
LYCEE SEVIGNE;2014;PARIS 05;0753598D;75105;PARIS;Paris;PR;19.0;22.0;38.0;;;;;;;;;;79;100.0;100.0;97.0;;;;;;;;;;99;99.0;99.0;99.0;;;;;;;;;;99.0;99;99;99;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;1.0;;80.0;100.0;75.0;95.0;74.0;97.0;87.0;87.0;;76;85.0;82;90.0;95.0;95;;;Ile-de-France;11;75;Paris;0;-6;;1;1;-2;;;;;;;;;;-5;;;;;;;;;;;;0753598D;Lycée privé Sévigné;Lycée;Privé;28 rue Pierre Nicole;;75005 Paris;75005.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 53 10 14 14;01 53 10 14 15;http://www.collegesevigne.org;secretariatsecondaire@collegesevigne.fr;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;78425936800032;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6622;48.8407564642,2.33938047906;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;651513.7;6860281.4;EPSG:2154;;48.840756464239895;2.33938047906221;Numéro de rue;1967-01-30;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE TURGOT;2015;PARIS 03;0750647W;75103;PARIS;Paris;PU;28.0;49.0;64.0;;;;56.0;;;;;;197;100.0;98.0;95.0;;;;100.0;;;;;;98;;;;;;;;;;;;;;94;89;83;;;;91;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;240.0;228.0;221.0;76;;69;91.0;;86;97.0;92;Ile-de-France;11;75;Paris;10;7;;6;9;12;;;;9;;;;;;5;5;;;;;;;;;;;0750647W;Lycée Turgot;Lycée;Public;69 rue de Turbigo;;75003 Paris;75003.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 53 01 14 10;01 53 01 14 53;http://lyc-turgot.ac-paris.fr;ce.0750647w@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;19750647000016.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17980;48.8661383856,2.35862025437;SANS OBJET;Paris;Paris;Ile-de-France;652948.7;6863092.0;EPSG:2154;;48.866138385615145;2.358620254370753;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0750647W;;;01000;BASSIN PARIS
LYCEE SOPHIE GERMAIN;2015;PARIS 04;0750653C;75104;PARIS;Paris;PU;45.0;85.0;69.0;;;;30.0;;;;;;229;100.0;100.0;97.0;;;;100.0;;;;;;99;;;;;;;;;;;;;;98;97;96;;;;94;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;278.0;232.0;224.0;79;;81;94.0;;93;98.0;97;Ile-de-France;11;75;Paris;3;-2;;2;3;1;;;;6;;;;;;1;1;;;;;;;;;;;0750653C;Lycée Sophie Germain;Lycée;Public;9 rue de Jouy;;75004 Paris;75004.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 44 54 81 54;01 40 29 90 75;http://lyc-sophie-germain.scola.ac-paris.fr;ce.0750653C@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;19750653800010.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10496;48.8548600576,2.3581893976;SANS OBJET;Paris;Paris;Ile-de-France;652906.9;6861838.2;EPSG:2154;;48.85486005760158;2.3581893975961794;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752525M;;;01000;BASSIN PARIS
